,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2772,3653,3653,3653,842,JOSE VENANCIO DIAS CORONEL,SAO PAULO,SAO DOMINGOS,,-23.481998,-46.762672
2773,9237,9237,9237,100,CRISANTEMO,SAO PAULO,TREMEMBE,,-23.431378,-46.573848
2774,3937,3937,3937,62,RUA MARECHAL BITTENCOURT,SAO PAULO,JARDIM PAULISTA,,-23.579183,-46.662801
2775,9511,9511,9511,375,RUA LINO CUNHA,SAO PAULO,VILA MATILDE,,-23.538876,-46.510048
2776,11222,11222,11222,S/N,RUA ALFONSE JOAILLER,SAO PAULO,CIDADE TIRADENTES,,-23.587035,-46.380936
2777,810,810,810,913,PIRAJU,SAO PAULO,PARELHEIROS,,-23.803346,-46.724973
2778,4428,4428,4428,802,RUA PRESIDENTE FELIX PAIVA,SAO PAULO,ANHANGUERA,,-23.45069,-46.788347
2779,7480,7480,7480,80,RUA DOS LIRIOS,SAO PAULO,IGUATEMI,,-23.62333,-46.41622
2780,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2781,1621,1621,1621,375,RUA MARTINHO LUTERO,SAO PAULO,CAMPO LIMPO,,-23.623976,-46.766255
2782,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2783,9544,9544,9544,26,RUA MONTE MANDIRA,SAO PAULO,SAO MATEUS,,-23.589473,-46.488236
2784,2207,2207,2207,537,RUA VIGARIO JOAO DE PONTES,SAO PAULO,SANTO AMARO,,-23.651174,-46.688814
2785,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2786,8259,8259,8259,233,RUA CASSIO DE ALMEIDA,SAO PAULO,VILA GUILHERME,,-23.508538,-46.598723
2787,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2788,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
2789,7416,7416,7416,5,ANTONIO PAVAO,SAO PAULO,IGUATEMI,,-23.603371,-46.454568
2790,9242,9242,9242,SN,ENGENHEIRO ANTONIO DE TOLEDO,SAO PAULO,TREMEMBE,,-23.420512,-46.590798
2791,11582,11582,11582,        87,MANUEL FELIX DE LIMA,SAO PAULO,JARDIM HELENA,,-23.478051,-46.384025
2792,4789,4789,4789,1547,DANIEL CERRI,SAO PAULO,BRASILANDIA,,-23.447766,-46.689179
2793,7583,7583,7583,2155,DOS TEXTEIS,SAO PAULO,CIDADE TIRADENTES,,-23.597531,-46.395791
