,Unnamed: 0,IDEND,ID_EDC,ID_LOGRADOURO,SIGLA_TIPO_LOGRADOURO,DESC_TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,ID_BAIRRO_POPULAR,NUM_BAIRRO_POPULAR,NOME_BAIRRO_POPULAR,ID_BAIRRO_OFICIAL,NUM_BAIRRO_OFICIAL,TIPO_BAIRRO_OFICIAL,NOME_BAIRRO_OFICIAL,ID_REGIONAL,NOME_REGIONAL,CEP,GEOMETRIA,LONGITUDE,LATITUDE
696,326085,08709100281,64261,87091,RUA,RUA,CORREAS,281,,176,801,Sion,198,113,Bairro,Sion,2,CENTRO-SUL,30315340.0,"(-19.958506945040845, -43.931085409575395)",-19.958506945040845,-43.9310854095754
697,269918,07840200041,396659,78402,RUA,RUA,VIRGILIO SALOMAO,41,,231,1153,Vila Pinho,225,618,Bairro,Jatobá,1,BARREIRO,30670250.0,"(-20.002240646435563, -44.02465507858916)",-20.002240646435563,-44.02465507858916
698,372883,10194500001,468379,101945,RUA,RUA,LABIBE MARIA DE JESUS,1,,228,1148,Diamante,251,629,Bairro,Diamante,1,BARREIRO,30660302.0,"(-19.988438354006504, -44.020436666195266)",-19.988438354006504,-44.02043666619527
699,375751,30308200155,438026,303082,RUA,RUA,JOSE SILVA PASSOS,155,,117,735,Nova Vista,242,830,Bairro,Boa Vista,3,LESTE,31070022.0,"(-19.886885752569874, -43.89047965361994)",-19.886885752569874,-43.89047965361994
700,689438,30455502287,876343,304555,EST,ESTRADA,DAS ANTENAS,2287,,9,612,Baleia,245,440,Bairro,da Baleia,3,LESTE,,"(-19.943602974981744, -43.89031482481611)",-19.943602974981744,-43.89031482481611
701,675654,10913700275,720091,109137,RUA,RUA,FAUNA,275,,47,654,Coqueiros,107,743,Bairro,dos Coqueiros,5,NOROESTE,30881002.0,"(-19.89909753203986, -44.02572904905865)",-19.89909753203986,-44.02572904905865
702,429732,11745000222,42749,117450,RUA,RUA,LILIANA VELLOSO MELO,222,,33,638,Casa Branca,307,448,Bairro,Mariano de Abreu,3,LESTE,31050030.0,"(-19.893574988716544, -43.88616251334075)",-19.893574988716544,-43.88616251334075
703,23781,30815200628,890977,308152,RUA,RUA,RAIMUNDO CORREIA,628,,251,1176,Granja Werneck,321,985,Bairro,Solimões,6,NORTE,31873748.0,"(-19.797283580831195, -43.91399635134236)",-19.797283580831195,-43.91399635134236
704,191885,03446400853,210976,34464,RUA,RUA,MANJERICAO,853,,97,714,Lindéia,290,639,Bairro,Lindéia,1,BARREIRO,30690510.0,"(-19.972784006428366, -44.050233125612614)",-19.97278400642837,-44.05023312561261
705,688604,10663301951,873279,106633,AVE,AVENIDA,JOSE DE PATROCINIO PONTES,1951,,101,718,Mangabeiras,312,109,Bairro,das Mangabeiras,2,CENTRO-SUL,30210090.0,"(-19.961849659527086, -43.919019975290595)",-19.961849659527086,-43.9190199752906
706,349721,30319600244,366786,303196,RUA,RUA,WASHINGTON ALVES DA SILVA,244,,115,733,Nova Pampulha,16,983,Bairro,do Trevo,8,PAMPULHA,31370732.0,"(-19.83094685338842, -44.016744054170026)",-19.83094685338842,-44.016744054170026
707,31513,10884300120,814411,108843,RUA,RUA,MATILDES AUGUSTA DE JESUS,120,,206,833,Olaria,251,629,Bairro,Diamante,1,BARREIRO,30660260.0,"(-19.988790361731468, -44.02651119892726)",-19.988790361731468,-44.02651119892726
708,667416,05056611227,728020,50566,AVE,AVENIDA,OTACILIO NEGRAO DE LIMA,11227,,45,652,Braúnas,275,325,Bairro,Braúnas,8,PAMPULHA,31370303.0,"(-19.849177205751726, -43.99588094157305)",-19.84917720575173,-43.99588094157305
709,213041,03044800456,245343,30448,AVE,AVENIDA,MENELICK DE CARVALHO,456,,66,677,Flávio Marques Lisboa,217,229,Bairro,Flávio Marques Lisboa,1,BARREIRO,30624000.0,"(-19.99388231514176, -43.99977277708273)",-19.99388231514176,-43.99977277708273
710,179628,03003100336,191443,30031,RUA,RUA,FREI ZACARIAS,336,,195,820,Xangri-lá,15,346,Bairro,Xangri-lá,8,PAMPULHA,31365700.0,"(-19.837694449333956, -44.019745646584404)",-19.83769444933396,-44.0197456465844
711,42666,31334800715,850429,313348,RUA,RUA,NOSSA SENHORA DO ROSARIO,715,,102,719,Mantiqueira,263,969,Bairro,Mantiqueira,9,VENDA NOVA,,"(-19.785042626480557, -43.9900151084735)",-19.78504262648056,-43.9900151084735
712,4900,30314400655,634683,303144,RUA,RUA,MARROM,655,,472,1481,Vitória,67,776,Bairro,Vitória,4,NORDESTE,31970735.0,"(-19.861803500361837, -43.88375129005459)",-19.86180350036184,-43.88375129005459
713,539426,05375300057,197508,53753,RUA,RUA,PINHEIRINHOS,57,,166,790,Piratininga,267,915,Parque,Jardim Leblon,9,VENDA NOVA,31540060.0,"(-19.818283552130872, -43.99060829418357)",-19.818283552130872,-43.99060829418357
714,737149,30026100019,789191,300261,RUA,RUA,DOIS,19,,252,1202,Vista do Sol,319,875,Vila,Vista do Sol,4,NORDESTE,31990600.0,"(-19.85135473011919, -43.8887298733953)",-19.85135473011919,-43.8887298733953
715,677593,10998805880A,755464,109988,AVE,AVENIDA,VILARINHO,5880,A,102,719,Mantiqueira,263,969,Bairro,Mantiqueira,9,VENDA NOVA,31615250.0,"(-19.800791166839428, -43.98655294645545)",-19.800791166839428,-43.98655294645545
716,706433,05339003221,794915,53390,AVE,AVENIDA,ANTONIO FRANCISCO LISBOA,3221,,208,835,Confisco,46,43,Bairro,Confisco,8,PAMPULHA,31360443.0,"(-19.862649342608343, -44.0191587979437)",-19.862649342608343,-44.0191587979437
717,322281,05532700566,15425,55327,RUA,RUA,PRINCESA LEOPOLDINA,566,,82,698,Ipiranga,96,823,Bairro,Ipiranga,4,NORDESTE,31160120.0,"(-19.886897372674525, -43.93118516404256)",-19.886897372674525,-43.93118516404256
718,23637,30815200626,890974,308152,RUA,RUA,RAIMUNDO CORREIA,626,,251,1176,Granja Werneck,321,985,Bairro,Solimões,6,NORTE,31873748.0,"(-19.797283326470282, -43.91401614356751)",-19.79728332647028,-43.91401614356751
719,541137,10934100027,565019,109341,RUA,RUA,LOURIVAL SOARES DE GOUVEA,27,,38,643,Céu Azul,12,988,Bairro,Céu Azul,9,VENDA NOVA,31580560.0,"(-19.823678328282593, -43.99860595810499)",-19.823678328282597,-43.99860595810499
720,755642,12269000146,842028,122690,AVE,AVENIDA,JOAO BATISTA DRUMOND,146,,45,652,Braúnas,275,325,Bairro,Braúnas,8,PAMPULHA,31365515.0,"(-19.856720135152965, -44.01153654699867)",-19.856720135152965,-44.01153654699867
721,179628,03003100336,191443,30031,RUA,RUA,FREI ZACARIAS,336,,195,820,Xangri-lá,15,346,Bairro,Xangri-lá,8,PAMPULHA,31365700.0,"(-19.837694449333956, -44.019745646584404)",-19.83769444933396,-44.0197456465844
722,725249,12473000085,754885,124730,RUA,RUA,OTACILIO BRAGA DE JESUS,85,,87,703,Jardim dos Comerciários,1,897,Bairro,Esplendor,9,VENDA NOVA,31652210.0,"(-19.78230582861764, -43.975339258488304)",-19.78230582861764,-43.975339258488304
723,755642,12269000146,842028,122690,AVE,AVENIDA,JOAO BATISTA DRUMOND,146,,45,652,Braúnas,275,325,Bairro,Braúnas,8,PAMPULHA,31365515.0,"(-19.856720135152965, -44.01153654699867)",-19.856720135152965,-44.01153654699867
724,755692,01728400251,843221,17284,RUA,RUA,COQUEIRAL,251,,101,718,Mangabeiras,312,109,Bairro,das Mangabeiras,2,CENTRO-SUL,,"(-19.964460441536882, -43.92925144355369)",-19.96446044153688,-43.92925144355369
725,353936,03657301345,334215,36573,ALA,ALAMEDA,DOS JACARANDAS,1345,,36,641,São Luíz,320,374,Bairro,São Luíz,8,PAMPULHA,31275060.0,"(-19.859403137587154, -43.97382528152289)",-19.859403137587154,-43.97382528152289
726,361843,12314500175,324198,123145,RUA,RUA,JORGE MARINI,175,,13,618,Belvedere,209,122,Bairro,Belvedere,2,CENTRO-SUL,30320550.0,"(-19.97263246094935, -43.93104570466738)",-19.97263246094935,-43.93104570466738
